event_id,magnitude,event_type,out_of_window,detected,lag_hours,variant
EVT013,MEDIA,REGULATORIO,True,False,,V4_EWMA
EVT014,MUY_ALTA,MERCADO,True,False,,V4_EWMA
EVT015,MUY_ALTA,MERCADO,True,False,,V4_EWMA
EVT016,MUY_ALTA,MERCADO,True,False,,V4_EWMA
EVT017,MUY_ALTA,INFRAESTRUCTURA,False,True,724.0,V4_EWMA
EVT018,MEDIA,MERCADO,False,False,,V4_EWMA
EVT019,MUY_ALTA,GEOPOLITICO,False,False,,V4_EWMA
EVT020,MUY_ALTA,MERCADO,False,False,,V4_EWMA
EVT021,ALTA,INFRAESTRUCTURA,False,True,856.0,V4_EWMA
EVT022,MUY_ALTA,REGULATORIO,False,True,440.0,V4_EWMA
EVT023,MUY_ALTA,MERCADO,False,True,440.0,V4_EWMA
EVT024,ALTA,CLIMATICO,False,True,112.0,V4_EWMA
EVT025,MEDIA,LABORAL,False,True,204.0,V4_EWMA
EVT026,MUY_ALTA,INFRAESTRUCTURA,False,True,416.0,V4_EWMA
EVT027,MUY_ALTA,MERCADO,False,True,577.0,V4_EWMA
EVT028,MEDIA,LABORAL,False,True,145.0,V4_EWMA
EVT029,ALTA,MERCADO,False,True,224.0,V4_EWMA
EVT030,MEDIA,CLIMATICO,False,True,12.0,V4_EWMA
EVT031,MEDIA,MERCADO,False,True,12.0,V4_EWMA
EVT032,ALTA,MERCADO,False,True,296.0,V4_EWMA
EVT033,ALTA,REGULATORIO,False,False,,V4_EWMA
EVT034,ALTA,MERCADO,False,True,367.0,V4_EWMA
EVT035,ALTA,MERCADO,False,False,,V4_EWMA
EVT036,ALTA,MERCADO,False,False,,V4_EWMA
EVT037,MUY_ALTA,MERCADO,False,True,367.0,V4_EWMA
EVT038,MEDIA,MERCADO,False,True,367.0,V4_EWMA
EVT039,BAJA,INFRAESTRUCTURA,False,True,468.0,V4_EWMA
EVT040,ALTA,MERCADO,False,True,176.0,V4_EWMA
EVT001,ALTA,INFRAESTRUCTURA,True,False,,V4b_p1_ewma_k95_persist1
EVT002,MEDIA,MERCADO,True,False,,V4b_p1_ewma_k95_persist1
EVT003,ALTA,CLIMATICO,True,False,,V4b_p1_ewma_k95_persist1
EVT004,ALTA,CLIMATICO,True,False,,V4b_p1_ewma_k95_persist1
EVT005,MEDIA,MERCADO,True,False,,V4b_p1_ewma_k95_persist1
EVT006,MUY_ALTA,REGULATORIO,True,False,,V4b_p1_ewma_k95_persist1
EVT007,ALTA,MERCADO,True,False,,V4b_p1_ewma_k95_persist1
EVT008,ALTA,CLIMATICO,True,False,,V4b_p1_ewma_k95_persist1
EVT009,ALTA,MERCADO,True,False,,V4b_p1_ewma_k95_persist1
EVT010,MUY_ALTA,INFRAESTRUCTURA,True,False,,V4b_p1_ewma_k95_persist1
EVT011,ALTA,MERCADO,True,False,,V4b_p1_ewma_k95_persist1
EVT012,MUY_ALTA,MERCADO,True,False,,V4b_p1_ewma_k95_persist1
EVT013,MEDIA,REGULATORIO,True,False,,V4b_p1_ewma_k95_persist1
EVT014,MUY_ALTA,MERCADO,True,False,,V4b_p1_ewma_k95_persist1
EVT015,MUY_ALTA,MERCADO,True,False,,V4b_p1_ewma_k95_persist1
EVT016,MUY_ALTA,MERCADO,True,False,,V4b_p1_ewma_k95_persist1
EVT017,MUY_ALTA,INFRAESTRUCTURA,False,True,168.0,V4b_p1_ewma_k95_persist1
EVT018,MEDIA,MERCADO,False,True,175.0,V4b_p1_ewma_k95_persist1
EVT019,MUY_ALTA,GEOPOLITICO,False,False,,V4b_p1_ewma_k95_persist1
EVT020,MUY_ALTA,MERCADO,False,True,19.0,V4b_p1_ewma_k95_persist1
EVT021,ALTA,INFRAESTRUCTURA,False,True,179.0,V4b_p1_ewma_k95_persist1
EVT022,MUY_ALTA,REGULATORIO,False,True,295.0,V4b_p1_ewma_k95_persist1
EVT023,MUY_ALTA,MERCADO,False,True,295.0,V4b_p1_ewma_k95_persist1
EVT024,ALTA,CLIMATICO,False,True,21.0,V4b_p1_ewma_k95_persist1
EVT025,MEDIA,LABORAL,False,True,203.0,V4b_p1_ewma_k95_persist1
EVT026,MUY_ALTA,INFRAESTRUCTURA,False,True,135.0,V4b_p1_ewma_k95_persist1
EVT027,MUY_ALTA,MERCADO,False,True,17.0,V4b_p1_ewma_k95_persist1
EVT028,MEDIA,LABORAL,False,True,139.0,V4b_p1_ewma_k95_persist1
EVT029,ALTA,MERCADO,False,True,8.0,V4b_p1_ewma_k95_persist1
EVT030,MEDIA,CLIMATICO,False,True,8.0,V4b_p1_ewma_k95_persist1
EVT031,MEDIA,MERCADO,False,True,8.0,V4b_p1_ewma_k95_persist1
EVT032,ALTA,MERCADO,False,True,0.0,V4b_p1_ewma_k95_persist1
EVT033,ALTA,REGULATORIO,False,False,,V4b_p1_ewma_k95_persist1
EVT034,ALTA,MERCADO,False,True,168.0,V4b_p1_ewma_k95_persist1
EVT035,ALTA,MERCADO,False,False,,V4b_p1_ewma_k95_persist1
EVT036,ALTA,MERCADO,False,False,,V4b_p1_ewma_k95_persist1
EVT037,MUY_ALTA,MERCADO,False,True,168.0,V4b_p1_ewma_k95_persist1
EVT038,MEDIA,MERCADO,False,True,168.0,V4b_p1_ewma_k95_persist1
EVT039,BAJA,INFRAESTRUCTURA,False,True,11.0,V4b_p1_ewma_k95_persist1
EVT040,ALTA,MERCADO,False,True,148.0,V4b_p1_ewma_k95_persist1
EVT001,ALTA,INFRAESTRUCTURA,True,False,,V4b_p2_ewma_k95_persist2
EVT002,MEDIA,MERCADO,True,False,,V4b_p2_ewma_k95_persist2
EVT003,ALTA,CLIMATICO,True,False,,V4b_p2_ewma_k95_persist2
EVT004,ALTA,CLIMATICO,True,False,,V4b_p2_ewma_k95_persist2
EVT005,MEDIA,MERCADO,True,False,,V4b_p2_ewma_k95_persist2
EVT006,MUY_ALTA,REGULATORIO,True,False,,V4b_p2_ewma_k95_persist2
EVT007,ALTA,MERCADO,True,False,,V4b_p2_ewma_k95_persist2
EVT008,ALTA,CLIMATICO,True,False,,V4b_p2_ewma_k95_persist2
EVT009,ALTA,MERCADO,True,False,,V4b_p2_ewma_k95_persist2
EVT010,MUY_ALTA,INFRAESTRUCTURA,True,False,,V4b_p2_ewma_k95_persist2
EVT011,ALTA,MERCADO,True,False,,V4b_p2_ewma_k95_persist2
EVT012,MUY_ALTA,MERCADO,True,False,,V4b_p2_ewma_k95_persist2
EVT013,MEDIA,REGULATORIO,True,False,,V4b_p2_ewma_k95_persist2
EVT014,MUY_ALTA,MERCADO,True,False,,V4b_p2_ewma_k95_persist2
EVT015,MUY_ALTA,MERCADO,True,False,,V4b_p2_ewma_k95_persist2
EVT016,MUY_ALTA,MERCADO,True,False,,V4b_p2_ewma_k95_persist2
EVT017,MUY_ALTA,INFRAESTRUCTURA,False,True,192.0,V4b_p2_ewma_k95_persist2
EVT018,MEDIA,MERCADO,False,True,176.0,V4b_p2_ewma_k95_persist2
EVT019,MUY_ALTA,GEOPOLITICO,False,False,,V4b_p2_ewma_k95_persist2
EVT020,MUY_ALTA,MERCADO,False,True,20.0,V4b_p2_ewma_k95_persist2
EVT021,ALTA,INFRAESTRUCTURA,False,True,180.0,V4b_p2_ewma_k95_persist2
EVT022,MUY_ALTA,REGULATORIO,False,True,296.0,V4b_p2_ewma_k95_persist2
EVT023,MUY_ALTA,MERCADO,False,True,296.0,V4b_p2_ewma_k95_persist2
EVT024,ALTA,CLIMATICO,False,True,46.0,V4b_p2_ewma_k95_persist2
EVT025,MEDIA,LABORAL,False,True,204.0,V4b_p2_ewma_k95_persist2
EVT026,MUY_ALTA,INFRAESTRUCTURA,False,True,136.0,V4b_p2_ewma_k95_persist2
EVT027,MUY_ALTA,MERCADO,False,True,18.0,V4b_p2_ewma_k95_persist2
EVT028,MEDIA,LABORAL,False,True,140.0,V4b_p2_ewma_k95_persist2
EVT029,ALTA,MERCADO,False,True,9.0,V4b_p2_ewma_k95_persist2
EVT030,MEDIA,CLIMATICO,False,True,9.0,V4b_p2_ewma_k95_persist2
EVT031,MEDIA,MERCADO,False,True,9.0,V4b_p2_ewma_k95_persist2
EVT032,ALTA,MERCADO,False,True,0.0,V4b_p2_ewma_k95_persist2
EVT033,ALTA,REGULATORIO,False,False,,V4b_p2_ewma_k95_persist2
EVT034,ALTA,MERCADO,False,True,179.0,V4b_p2_ewma_k95_persist2
EVT035,ALTA,MERCADO,False,False,,V4b_p2_ewma_k95_persist2
EVT036,ALTA,MERCADO,False,False,,V4b_p2_ewma_k95_persist2
EVT037,MUY_ALTA,MERCADO,False,True,179.0,V4b_p2_ewma_k95_persist2
EVT038,MEDIA,MERCADO,False,True,179.0,V4b_p2_ewma_k95_persist2
EVT039,BAJA,INFRAESTRUCTURA,False,True,15.0,V4b_p2_ewma_k95_persist2
EVT040,ALTA,MERCADO,False,True,149.0,V4b_p2_ewma_k95_persist2
EVT001,ALTA,INFRAESTRUCTURA,True,False,,V_naive_spread_p99
EVT002,MEDIA,MERCADO,True,False,,V_naive_spread_p99
EVT003,ALTA,CLIMATICO,True,False,,V_naive_spread_p99
EVT004,ALTA,CLIMATICO,True,False,,V_naive_spread_p99
EVT005,MEDIA,MERCADO,True,False,,V_naive_spread_p99
EVT006,MUY_ALTA,REGULATORIO,True,False,,V_naive_spread_p99
EVT007,ALTA,MERCADO,True,False,,V_naive_spread_p99
EVT008,ALTA,CLIMATICO,True,False,,V_naive_spread_p99
EVT009,ALTA,MERCADO,True,False,,V_naive_spread_p99
EVT010,MUY_ALTA,INFRAESTRUCTURA,True,False,,V_naive_spread_p99
EVT011,ALTA,MERCADO,True,False,,V_naive_spread_p99
EVT012,MUY_ALTA,MERCADO,True,False,,V_naive_spread_p99
EVT013,MEDIA,REGULATORIO,True,False,,V_naive_spread_p99
EVT014,MUY_ALTA,MERCADO,True,False,,V_naive_spread_p99
EVT015,MUY_ALTA,MERCADO,True,False,,V_naive_spread_p99
EVT016,MUY_ALTA,MERCADO,True,False,,V_naive_spread_p99
EVT017,MUY_ALTA,INFRAESTRUCTURA,False,True,191.0,V_naive_spread_p99
EVT018,MEDIA,MERCADO,False,True,216.0,V_naive_spread_p99
EVT019,MUY_ALTA,GEOPOLITICO,False,False,,V_naive_spread_p99
EVT020,MUY_ALTA,MERCADO,False,True,19.0,V_naive_spread_p99
EVT021,ALTA,INFRAESTRUCTURA,False,True,181.0,V_naive_spread_p99
EVT022,MUY_ALTA,REGULATORIO,False,True,295.0,V_naive_spread_p99
EVT023,MUY_ALTA,MERCADO,False,True,295.0,V_naive_spread_p99
EVT024,ALTA,CLIMATICO,False,True,279.0,V_naive_spread_p99
EVT025,MEDIA,LABORAL,False,True,440.0,V_naive_spread_p99
EVT026,MUY_ALTA,INFRAESTRUCTURA,False,True,415.0,V_naive_spread_p99
EVT027,MUY_ALTA,MERCADO,False,True,41.0,V_naive_spread_p99
EVT028,MEDIA,LABORAL,False,True,152.0,V_naive_spread_p99
EVT029,ALTA,MERCADO,False,True,8.0,V_naive_spread_p99
EVT030,MEDIA,CLIMATICO,False,True,9.0,V_naive_spread_p99
EVT031,MEDIA,MERCADO,False,True,9.0,V_naive_spread_p99
EVT032,ALTA,MERCADO,False,True,185.0,V_naive_spread_p99
EVT033,ALTA,REGULATORIO,False,True,11.0,V_naive_spread_p99
EVT034,ALTA,MERCADO,False,True,11.0,V_naive_spread_p99
EVT035,ALTA,MERCADO,False,False,,V_naive_spread_p99
EVT036,ALTA,MERCADO,False,False,,V_naive_spread_p99
EVT037,MUY_ALTA,MERCADO,False,True,11.0,V_naive_spread_p99
EVT038,MEDIA,MERCADO,False,True,11.0,V_naive_spread_p99
EVT039,BAJA,INFRAESTRUCTURA,False,True,14.0,V_naive_spread_p99
EVT040,ALTA,MERCADO,False,True,835.0,V_naive_spread_p99
